"Region","FunctionName","Runtime","MemorySize","Timeout","LastModified"
"us-east-1","create_schedule_event_issue","python3.7","128","3","2025-07-17T14:06:21.945+0000"
"us-east-1","clamav-defs-updates",,"1024","300","2025-07-17T14:06:55.033+0000"
"us-east-1","s3endpointtesting-srodriguez","python3.9","128","300","2025-07-17T14:07:16.428+0000"
"us-east-1","ServerlessImageHandler-CustomResourceFunction-LEW2DTXL5RG4","nodejs12.x","128","30","2025-07-17T14:08:02.809+0000"
"us-east-1","ServerlessImageHandler-Prod-CustomResourceFunction-MGBDABPYVH5G","nodejs12.x","128","30","2025-07-17T14:08:37.620+0000"
"us-east-1","create_schedule_event_issue_ruby","ruby2.7","128","3","2025-07-17T14:46:00.134+0000"
"us-east-1","helloworld","nodejs12.x","128","3","2025-07-17T14:46:22.625+0000"
"us-east-1","prowler-main-5548-CodeBuildStartBuildLambda-ABEXmBQ6DIGP","python3.10","128","120","2025-07-17T14:47:13.939+0000"
"us-east-1","tika-extractor-function-1SY6EL6YZBBXG","java8","4096","300","2025-07-17T14:49:07.535+0000"
"us-east-1","plain_text_indexer_staging","ruby2.7","128","3","2025-07-17T14:52:21.722+0000"
"us-east-1","ServerlessImageHandler-ImageHandlerFunction-GPREPMN6PVCF","nodejs12.x","1024","30","2025-07-17T14:53:43.551+0000"
"us-east-1","clamav-bucket-scanning",,"10240","900","2025-07-17T16:22:40.905+0000"
"us-east-1","tika-extractor-staging-function-1X8ZUROKZI3CD","java8","2048","300","2025-07-17T16:23:23.439+0000"
"us-east-1","doppio_replication","python3.12","128","3","2025-07-17T16:24:50.286+0000"
"us-east-1","ServerlessImageHandler-Prod-ImageHandlerFunction-1DKAH21NGV3HL","nodejs12.x","1024","30","2025-07-17T16:25:19.684+0000"
"us-east-1","Calc","nodejs12.x","128","3","2025-07-17T16:25:49.294+0000"
"us-east-1","aws-controltower-NotificationForwarder","python3.13","128","60","2025-08-25T20:03:22.000+0000"
"us-east-1","plain_text_indexer_production","ruby2.7","128","63","2025-07-17T16:28:02.538+0000"
"us-east-1","cwsyn-haproxy-sessions-2f377df9-d617-4e49-b5a6-d6ca14bc39dc","nodejs10.x","1000","300","2025-07-17T14:04:20.032+0000"
"us-east-2","TikaExtractor-StagingDev","java8","128","3","2022-10-24T15:54:50.525+0000"
"us-east-2","aws-controltower-NotificationForwarder","python3.13","128","60","2025-08-25T20:03:21.000+0000"
"us-east-2","ServerlessImageHandler-StagingDev","nodejs12.x","128","3","2022-11-08T16:45:07.530+0000"
"us-west-1","aws-controltower-NotificationForwarder","python3.13","128","60","2025-08-25T20:03:22.000+0000"
"us-west-2","s3StepFunctionInvoker","nodejs8.10","128","3","2018-05-14T22:39:48.241+0000"
"us-west-2","aws-controltower-NotificationForwarder","python3.13","128","60","2025-08-25T20:03:22.000+0000"
"us-west-2","s3SignedUrlCreator","nodejs8.10","128","10","2018-05-16T23:10:23.626+0000"
"us-west-2","staging_marshal-plucker","java8","512","15","2018-05-18T23:50:18.653+0000"
"us-west-2","scalaLinearizer","java8","2048","300","2018-05-18T18:23:11.020+0000"
"us-west-2","staging_marshal-linearizer","java8","2048","300","2018-05-18T20:10:49.573+0000"
"us-west-2","instructionsUploader","nodejs8.10","128","30","2018-05-15T22:00:14.533+0000"
"us-west-2","scalaScannerTest","java8","512","300","2018-05-15T18:21:47.203+0000"
