"Region","DBInstanceId","DBInstanceClass","Engine","EngineVersion","Status","AllocatedStorage","StorageType","MultiAZ","CreateTime"
"us-east-1","doppio-prod","db.r7g.2xlarge","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2024-10-11T23:39:22.442000+00:00"
"us-east-1","doppio-prod-us-east-1d","db.r7g.2xlarge","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2024-10-11T23:41:44.617000+00:00"
"us-east-1","prod-replica-57b","db.m5.xlarge","mysql","5.7.44-rds.20240408","available","6443","gp3","False","2024-06-05T21:22:59.912000+00:00"
"us-east-1","prod-replica-8","db.m7g.xlarge","mysql","8.0.35","available","6443","gp3","False","2024-10-10T22:44:36.995000+00:00"
"us-east-1","production-db-macchiato","db.m5.xlarge","mysql","5.7.44","available","600","gp2","True","2021-07-13T01:45:45.726000+00:00"
"us-east-1","production-db-mfa-5-7","db.m5.large","mysql","5.7.44","available","100","gp3","True","2021-07-16T21:41:18.251000+00:00"
"us-east-1","staging-cluster","db.t4g.large","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2024-10-02T22:42:53.863000+00:00"
"us-east-1","staging-cluster-us-east-1d","db.t4g.large","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2024-10-02T22:33:02.284000+00:00"
"us-east-1","staging-db-macchiato","db.t3.small","mysql","5.7.44","available","25","gp3","False","2021-06-30T18:34:08.346000+00:00"
"us-east-1","staging-db-mfa","db.t3.micro","mysql","8.0.42","available","25","gp3","True","2021-07-07T23:17:09.307000+00:00"
"us-east-1","staging-replica-57","db.t3.medium","mysql","5.7.44","available","20","gp3","False","2023-01-23T20:19:28.786000+00:00"
"us-east-1","staging-replica-8","db.t3.medium","mysql","8.0.35","available","20","gp3","False","2023-01-23T20:26:00.319000+00:00"
"us-east-2","stagingdev-doppio-1-one","db.t4g.medium","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2023-03-09T22:55:02.864000+00:00"
"us-east-2","stagingdev-doppio-1-two","db.t4g.medium","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2023-03-09T22:49:46.798000+00:00"
"us-west-2","staging-database-test","db.t4g.large","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2023-02-23T22:53:31.651000+00:00"
"us-west-2","staging-database-test-us-west2b","db.t4g.large","aurora-mysql","8.0.mysql_aurora.3.08.2","available","1","aurora","False","2023-02-23T23:06:25.401000+00:00"
