"VolumeId","Type","VolumeType","SizeGB","State","Encrypted","AttachedTo","Region","Environment"
"vol-76193bde","EBS","gp3","50","in-use","False","i-15c46892","us-east-1","Staging"
"vol-0d3c148f3dc6b3e6e","EBS","gp3","30","in-use","False","i-09305503247b3b2eb","us-east-1","Staging"
"vol-0f938ccf35dd79c13","EBS","gp3","30","in-use","False","i-020fc76b27bc2729e","us-east-1","Staging"
"vol-099c77de730069a0d","EBS","gp3","50","in-use","False","i-0cf6e6a70c40a6a21","us-east-1","Staging"
"vol-012143f44a124ea7b","EBS","gp3","60","in-use","False","i-0e67a8be33d600e3c","us-east-1","Staging"
"vol-9e5c2570","EBS","gp3","20","in-use","False","i-19859fc9","us-east-1","Staging"
"vol-a3cf0343","EBS","gp3","20","in-use","False","i-a915407c","us-east-1","Staging"
"vol-5971d4b9","EBS","gp3","20","in-use","False","i-efc4fb3a","us-east-1","Staging"
"vol-06b1b51de0a896a05","EBS","gp3","6144","in-use","False","i-19859fc9","us-east-1","Staging"
"vol-0e261936cf812ce54","EBS","gp3","100","in-use","False","i-00823396f38206fdb","us-east-1","Staging"
"vol-05bfe000b0fd41867","EBS","gp3","20","in-use","False","i-05bc73a0c7e562ce0","us-east-1","Staging"
"vol-04a6455707fddf6d5","EBS","gp3","100","in-use","False","i-047dbab75f6716d09","us-east-1","Staging"
"vol-b7cd3257","EBS","gp3","100","in-use","False","i-42700397","us-east-1","Staging"
"vol-5e0d86be","EBS","gp3","50","in-use","False","i-fafc372e","us-east-1","Staging"
"vol-046e153a3c66b7e46","EBS","gp3","100","in-use","False","i-072f2909dbd9bb9dc","us-east-1","Staging"
"vol-0b4cceea9a3ef8d7b","EBS","gp3","30","in-use","False","i-00053af887e6eb4d6","us-east-1","Staging"
"vol-9c5c2572","EBS","gp3","100","in-use","False","i-9e859f4e","us-east-1","Staging"
"vol-097bf20f0407e7fd9","EBS","gp3","105","in-use","False","i-05bc73a0c7e562ce0","us-east-1","Staging"
"vol-0bc403f5d6cd362c0","EBS","gp3","100","in-use","False","i-09abb9e2cfa017272","us-east-1","Staging"
"vol-0c53908acd7ed4e23","EBS","gp3","100","in-use","False","i-060098e5e6b5ad472","us-east-1","Staging"
"vol-00985f88762d2a739","EBS","gp3","10","in-use","False","i-0478dda6d47023e11","us-east-1","Staging"
"vol-04f464e5","EBS","gp3","50","in-use","False","i-060794d4","us-east-1","Staging"
"vol-02881fbcf30241db1","EBS","gp3","8","in-use","False","i-0490009a252a79db0","us-east-1","Staging"
"vol-073530f7a7dd4f714","EBS","gp2","105","in-use","False","i-05e80ed206905b62f","us-east-2","Staging"
"vol-083289eb2ba52fc5e","EBS","gp3","105","in-use","False","i-09c5f37643e036865","us-east-2","Staging"
"vol-03fa22ed1cc2115ce","EBS","gp2","20","in-use","False","i-05e80ed206905b62f","us-east-2","Staging"
"vol-0620dee75aed951db","EBS","gp3","20","in-use","False","i-02904074725f14fa6","us-east-2","Staging"
"vol-0d563e0800d536633","EBS","gp3","105","in-use","False","i-02904074725f14fa6","us-east-2","Staging"
"vol-06d06f94a5b281721","EBS","gp3","20","in-use","False","i-09c5f37643e036865","us-east-2","Staging"
